workload,cell,optimizer,identity,round,throughput_samples_per_sec,perf_time_sec,setup_time_sec,num_samples,n_local_workers,stage_widths,fused,stages,status,commit,results_path
simclrv2,ablation_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,2432.924205610904,31.136193978134543,120.38897000113502,75752,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2/results/ablation_fast.json
simclrv2,ablation_fast,pico_final_no_boundary,final PICO without the boundary term,1,2420.2576887339837,31.299146513454616,136.9997923541814,75752,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2/results/ablation_fast.json
simclrv2,ablation_fast,pico_byte_proportional,"byte-proportional compute, same W-only search",1,2408.589693565039,31.45076980208978,125.66496390104294,75752,64,,"[[3, 6, 2, 4, 5, 7, 1]]",[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2/results/ablation_fast.json
simclrv2,ablation_fast,simple_dp_workers_boundary,"byte affine compute, same W-only search",1,2447.476363263739,30.95106499781832,125.72865896159783,75752,64,,"[[6, 3, 2, 4, 5, 7, 1]]",[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2/results/ablation_fast.json
simclrv2,staged_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,2444.369599125709,30.990403426345438,123.85514425532892,75752,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2/results/staged_fast.json
simclrv2,staged_fast,staged_final,unknown,1,2475.0253379473656,30.606555350590497,26.363037704024464,75752,64,,[],[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2/results/staged_fast.json
simclrv2_cache,ablation_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,2430.6015338023385,31.165947583969682,123.46895322669297,75752,64,,"[[3, 7, 6, 2, 1, 4, 5]]",[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2_cache/results/ablation_fast.json
simclrv2_cache,ablation_fast,pico_final_no_boundary,final PICO without the boundary term,1,2364.9361133669877,32.03130924841389,140.09528673114255,75752,64,,"[[3, 7, 6, 2, 1, 4, 5]]",[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2_cache/results/ablation_fast.json
simclrv2_cache,ablation_fast,pico_byte_proportional,"byte-proportional compute, same W-only search",1,2433.854197497517,31.124296631198376,133.7072104178369,75752,64,,"[[3, 6, 2, 4, 5, 7, 1]]",[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2_cache/results/ablation_fast.json
simclrv2_cache,ablation_fast,simple_dp_workers_boundary,"byte affine compute, same W-only search",1,2508.680370590516,30.195955167524517,131.6961784348823,75752,64,,"[[6, 3, 2, 4, 5, 7, 1]]",[],completed,7762bed2d111cfbfa7915840e8c2cb7c6082b692,outputs/pico_final_w_only_20260924/simclrv2_cache/results/ablation_fast.json
