workload,cell,optimizer,identity,round,throughput_samples_per_sec,perf_time_sec,setup_time_sec,num_samples,n_local_workers,stage_widths,fused,stages,status,commit,results_path
llava_pretrain,main_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,17.249727957731,579.7192874290049,660.5728407809511,10000,1,"1,1,1,1,1,1,1,1","[[15, 14, 13, 12, 7, 6, 9], [1, 2, 3, 4, 8, 10, 5, 11, 0]]","[""FilterPipe_WordRepetitionFilter:RAY"", ""FilterPipe_SpecialCharactersFilter:RAY"", ""FilterPipe_FlaggedWordsFilter:RAY"", ""MapperPipe_PunctuationNormalizationMapper:RAY"", ""MapperPipe_FixUnicodeMapper:RAY"", ""MapperPipe_SetImageRootMapper:RAY"", ""MapperPipe_parse_json_line:RAY"", ""FusedPipe:RAY""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/llava_pretrain/results/main_fast.json
llava_pretrain,main_fast,plumber_optimizer,Plumber strategy inside Cedar,1,17.624752135427105,567.3838657792658,2.390054937917739,10000,1,"2,2,2",[],"[""FilterPipe_WordRepetitionFilter:SMP"", ""FilterPipe_PerplexityFilter:SMP"", ""FilterPipe_FlaggedWordsFilter:SMP""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/llava_pretrain/results/main_fast.json
llava_pretrain,main_fast,raydata_optimizer,Ray Data strategy inside Cedar,1,15.761717070830063,634.4486425598152,5.269627104979008,10000,1,1,"[[15, 14, 13, 12, 11, 10, 9, 8, 7, 6, 5, 4, 3, 2, 1, 0]]","[""FusedPipe:RAY""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/llava_pretrain/results/main_fast.json
simclrv2,ablation_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,2432.924205610904,31.136193978134543,120.38897000113502,75752,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/ablation_fast.json
simclrv2,ablation_fast,pico_final_no_boundary,final PICO without the boundary term,1,2420.2576887339837,31.299146513454616,136.9997923541814,75752,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/ablation_fast.json
simclrv2,ablation_fast,pico_byte_proportional,"byte-proportional compute, same W-only search",1,2408.589693565039,31.45076980208978,125.66496390104294,75752,64,,"[[3, 6, 2, 4, 5, 7, 1]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/ablation_fast.json
simclrv2,ablation_fast,simple_dp_workers_boundary,"byte affine compute, same W-only search",1,2447.476363263739,30.95106499781832,125.72865896159783,75752,64,,"[[6, 3, 2, 4, 5, 7, 1]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/ablation_fast.json
simclrv2,dp_repeat,optimizer,Cedar native staged optimizer,1,782.2399629752783,96.83984913257882,24.401270993053913,75752,64,1,"[[4, 2, 5]]","[""FusedPipe:RAY""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/dp_repeat.json
simclrv2,dp_repeat,optimizer,Cedar native staged optimizer,2,590.313461174835,128.32504251087084,24.31682593980804,75752,64,1,"[[4, 2, 5]]","[""FusedPipe:RAY""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/dp_repeat.json
simclrv2,dp_repeat,pico_final,"final PICO (W-only, representation-aware compute)",1,2436.7310879416705,31.08755019167438,131.9556949911639,75752,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/dp_repeat.json
simclrv2,dp_repeat,pico_final,"final PICO (W-only, representation-aware compute)",2,2421.9844189852934,31.276832091156393,134.3208734439686,75752,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/dp_repeat.json
simclrv2,main_fast,optimizer,Cedar native staged optimizer,1,713.2219084273122,106.21098301233724,24.825558386277407,75752,64,1,"[[4, 2, 5]]","[""FusedPipe:RAY""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/main_fast.json
simclrv2,main_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,2424.0199426285544,31.250567979179323,126.70657612290233,75752,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/main_fast.json
simclrv2,main_fast,plumber_optimizer,Plumber strategy inside Cedar,1,160.39286515297704,472.2903349082917,2.231277458835393,75752,1,"33,24,6",[],"[""MapperPipe_GaussianBlur:SMP"", ""MapperPipe_ColorJitter:SMP"", ""MapperPipe_RandomResizedCrop:SMP""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/main_fast.json
simclrv2,main_fast,raydata_optimizer,Ray Data strategy inside Cedar,1,49.76148690500363,1522.3017781726085,20.910560708027333,75752,1,64,"[[7, 6, 5, 4, 3, 2, 1]]","[""FusedPipe:RAY""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/main_fast.json
simclrv2,staged_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,2444.369599125709,30.990403426345438,123.85514425532892,75752,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/staged_fast.json
simclrv2,staged_fast,staged_final,unknown,1,2475.0253379473656,30.606555350590497,26.363037704024464,75752,64,,[],[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/staged_fast.json
simclrv2,w_cell_W1,pico_final,"final PICO (W-only, representation-aware compute)",1,91.19305550164754,103.86755820270628,3.0608280361630023,9472,1,"1,1,1","[[3, 6], [2, 4], [5, 7, 1]]","[""MapperPipe_GaussianBlur:SMP"", ""MapperPipe_ColorJitter:SMP"", ""FusedPipe:SMP""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/w_cell_W1.json
simclrv2,w_cell_W16,pico_final,"final PICO (W-only, representation-aware compute)",1,1145.1195470178216,8.271625460125506,8.735179698094726,9472,16,"1,1,1","[[3, 6], [2, 4], [5, 7, 1]]","[""MapperPipe_GaussianBlur:SMP"", ""MapperPipe_ColorJitter:SMP"", ""FusedPipe:SMP""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/w_cell_W16.json
simclrv2,w_cell_W4,pico_final,"final PICO (W-only, representation-aware compute)",1,342.1812461659092,27.68123649712652,4.142941465601325,9472,4,"1,1,1","[[3, 6], [2, 4], [5, 7, 1]]","[""MapperPipe_GaussianBlur:SMP"", ""MapperPipe_ColorJitter:SMP"", ""FusedPipe:SMP""]",completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/w_cell_W4.json
simclrv2,w_cell_W64,pico_final,"final PICO (W-only, representation-aware compute)",1,2272.1774332225423,4.168688528239727,25.48686228785664,9472,64,,"[[3, 6, 2, 5, 7, 1, 4]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2/results/w_cell_W64.json
simclrv2_cache,ablation_fast,pico_final,"final PICO (W-only, representation-aware compute)",1,2430.6015338023385,31.165947583969682,123.46895322669297,75752,64,,"[[3, 7, 6, 2, 1, 4, 5]]",[],completed,e247b26c9191520c1ca7bb78e30ddac12b1b1942,outputs/pico_final_w_only_20260924/simclrv2_cache/results/ablation_fast.json
