plan,operator,pipe,representation,dtype,shape,contiguous,elements,payload_bytes
declared,N_normalize,1,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
declared,B_blur,2,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
declared,G_grayscale,3,"Tensor|torch.float32|[3, 244, 244]|False",torch.float32,3x244x244,False,178608,714852
declared,J_jitter,4,"Tensor|torch.float32|[3, 244, 244]|True",torch.float32,3x244x244,True,178608,714852
declared,H_flip,5,"Tensor|torch.float32|[3, 244, 244]|True",torch.float32,3x244x244,True,178608,714852
declared,C_crop,6,"Tensor|torch.float32|[3, 375, 500]|False",torch.float32,3x375x500,False,562500,2250422
declared,F_to_float,7,"Tensor|torch.uint8|[3, 375, 500]|False",torch.uint8,3x375x500,False,562500,562921
pico,N_normalize,1,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
pico,B_blur,2,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
pico,G_grayscale,3,"Tensor|torch.uint8|[3, 244, 244]|True",torch.uint8,3x244x244,True,178608,179027
pico,J_jitter,4,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
pico,H_flip,5,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
pico,C_crop,6,"Tensor|torch.uint8|[3, 375, 500]|False",torch.uint8,3x375x500,False,562500,562921
pico,F_to_float,7,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
cedar,N_normalize,1,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
cedar,B_blur,2,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
cedar,G_grayscale,3,"Tensor|torch.uint8|[3, 375, 500]|False",torch.uint8,3x375x500,False,562500,562921
cedar,J_jitter,4,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
cedar,H_flip,5,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
cedar,C_crop,6,"Tensor|torch.uint8|[1, 375, 500]|True",torch.uint8,1x375x500,True,187500,187924
cedar,F_to_float,7,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
old-dp,N_normalize,1,"Tensor|torch.float32|[3, 375, 500]|False",torch.float32,3x375x500,False,562500,2250422
old-dp,B_blur,2,"Tensor|torch.float32|[3, 375, 500]|False",torch.float32,3x375x500,False,562500,2250422
old-dp,G_grayscale,3,"Tensor|torch.float32|[3, 375, 500]|True",torch.float32,3x375x500,True,562500,2250425
old-dp,J_jitter,4,"Tensor|torch.float32|[1, 375, 500]|True",torch.float32,1x375x500,True,187500,750425
old-dp,H_flip,5,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
old-dp,C_crop,6,"Tensor|torch.float32|[1, 375, 500]|True",torch.float32,1x375x500,True,187500,750425
old-dp,F_to_float,7,"Tensor|torch.uint8|[3, 375, 500]|False",torch.uint8,3x375x500,False,562500,562921
v1,N_normalize,1,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
v1,B_blur,2,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
v1,G_grayscale,3,"Tensor|torch.uint8|[3, 244, 244]|False",torch.uint8,3x244x244,False,178608,179027
v1,J_jitter,4,"Tensor|torch.uint8|[3, 244, 244]|True",torch.uint8,3x244x244,True,178608,179027
v1,H_flip,5,"Tensor|torch.uint8|[3, 244, 244]|True",torch.uint8,3x244x244,True,178608,179027
v1,C_crop,6,"Tensor|torch.uint8|[3, 375, 500]|False",torch.uint8,3x375x500,False,562500,562921
v1,F_to_float,7,"Tensor|torch.uint8|[1, 244, 244]|True",torch.uint8,1x244x244,True,59536,59944
v2,N_normalize,1,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
v2,B_blur,2,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
v2,G_grayscale,3,"Tensor|torch.float32|[3, 375, 500]|False",torch.float32,3x375x500,False,562500,2250422
v2,J_jitter,4,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
v2,H_flip,5,"Tensor|torch.float32|[1, 244, 244]|True",torch.float32,1x244x244,True,59536,238562
v2,C_crop,6,"Tensor|torch.float32|[1, 375, 500]|True",torch.float32,1x375x500,True,187500,750425
v2,F_to_float,7,"Tensor|torch.uint8|[3, 375, 500]|False",torch.uint8,3x375x500,False,562500,562921
