plan,run,p10_sum_ms,median_sum_ms,mean_sum_ms
a_f0,a_f0_r1,13.326502174436415,19.255124639400798,29.942563056083365
a_f0,a_f0_r2,13.429904954015347,20.704872554573967,29.335827196265726
a_f0,a_f0_r3,13.546229003781649,21.779603363033427,30.100359013004326
a_f1,a_f1_r1,13.056953677780161,16.642104864406033,24.978925336980492
a_f1,a_f1_r2,13.36433462509821,17.77260915464124,27.70055394696311
a_f1,a_f1_r3,13.255407764170984,17.58260341250279,25.33909925026133
a_f2,a_f2_r1,13.097168339054189,15.512999132143415,25.751629994481316
a_f2,a_f2_r2,13.309484688647204,15.766252737272193,25.193407900130502
a_f2,a_f2_r3,13.101724730306284,16.512267236603254,25.839261530597113
a_f3,a_f3_r1,13.89845820414898,15.595360846063098,24.806429032315506
a_f3,a_f3_r2,14.116271631544432,15.785480038559406,25.04235197613985
a_f3,a_f3_r3,13.884573487587616,15.710973531693122,25.07878185171464
a_f4,a_f4_r1,14.176587774335458,15.503894606297427,23.50762511185904
a_f4,a_f4_r2,14.222829569774163,15.605330208163231,22.458983638180623
a_f4,a_f4_r3,14.012550651419476,15.774995487969676,23.907983409021092
a_f5,a_f5_r1,14.05009173164341,15.19935355958147,21.900686782677294
a_f5,a_f5_r2,13.96076680739553,15.044773668057381,21.01899847561118
a_f5,a_f5_r3,13.903479155270595,15.13676499725862,22.72592433613442
pico,pico,5.180811345525471,6.990313967485037,14.959544446475814
pico,pico_r2,5.166987717361333,5.94295780571335,14.048127109608712
pico,pico_r3,5.1249637927229745,5.659367783384537,13.214093317272795
cedar,cedar,4.159006705022614,5.035716488774033,13.32267314601253
cedar,cedar_r2,4.1786997767338745,5.087629618330028,13.055369443423922
cedar,cedar_r3,4.310193355359476,5.549183747510111,13.026393492121086
old-dp,old-dp,11.295079211377807,31.95601385764977,83.70844088396147
old-dp,old-dp_r2,10.326063065450883,32.928864108065255,73.60609294977478
old-dp,old-dp_r3,9.989108589106745,31.218028733174016,63.48739595197311
v1,v1,14.160075064991434,15.193108242677646,22.23365475118629
v1,v1_r2,13.803834466732255,14.72538276258839,21.73454115950134
v1,v1_r3,13.932282817461823,15.224806471972485,23.148995049896353
v2,v2,4.424753972078454,8.980245585516283,18.687433107422418
v2,v2_r2,4.593474422318281,9.175650584931047,19.144345055183575
v2,v2_r3,4.710382931783334,9.385866342750422,18.752463953658765
