plan,chain,measured_mean_ms,measured_p10_ms,runs,run_mean_min,run_mean_max,M1,M1_ratio,M2,M2_ratio,M3,M3_ratio,M4,M4_ratio,M5,M5_ratio
a_f0,9 8 7 6 5 4 3 2 1 0,29.78844185415355,13.434212044077803,3,29.335827196265726,30.100359013004326,28.174885438992636,0.9458328024318624,20.537002763037833,0.689428566408023,26.00181465175306,0.8728826696965185,24.337515994169156,0.817012051631551,26.00181465175306,0.8728826696965185
a_f1,9 8 6 7 5 4 3 2 1 0,25.98414344610833,13.225565355683118,3,24.978925336980492,27.70055394696311,24.969110192190676,0.9609364358681727,20.154610101920554,0.7756503555224611,25.83212647473043,0.9941496254554941,24.266776755088795,0.9339071270684219,26.107209062388865,1.0047361813767606
a_f2,9 8 6 5 7 4 3 2 1 0,25.600547434637768,13.169459252669226,3,25.193407900130502,25.839261530597113,24.865289694662835,0.9712796086938311,20.114044094463367,0.7856880461567352,25.83212647473043,1.0090458628153918,24.21886833886098,0.9460293144392934,26.077632584445826,1.0186357401546249
a_f3,9 8 6 5 4 7 3 2 1 0,24.974401014642844,13.966434441093677,3,24.806429032315506,25.07878185171464,15.444556776588621,0.6184155034402331,13.889138485793161,0.5561349990996687,25.83212647473043,1.0343441854555266,25.43177289293825,1.0183136275431488,28.01721522075899,1.1218373247203048
a_f4,9 8 6 5 4 3 7 2 1 0,23.29508990452088,14.137322665176365,3,22.458983638180623,23.907983409021092,14.950709747257347,0.6417966107250723,13.7202615524771,0.5889765443581485,25.7794941963437,1.106649268236594,25.40819954526721,1.0907105166542517,28.009710202812567,1.20238686854678
a_f5,9 8 6 5 4 3 2 7 1 0,21.824316090412562,13.971445898103179,3,21.01899847561118,22.72592433613442,7.137577690343528,0.32704702684722714,7.387807619931227,0.33851267500550436,25.7794941963437,1.1812280435064193,22.752281389144088,1.0425197882438653,25.353792046689446,1.161722179135198
pico,9 8 6 3 4 5 2 7 1 0,13.953148081327948,5.157587618536593,3,13.214093317272795,14.959544446475814,5.020686433139936,0.3598246362667505,5.995258168159984,0.42967064731311905,18.21454978460945,1.3054079035385637,10.568848477237294,0.7574526132479371,12.778720127627903,0.9158306106367737
cedar,9 8 3 6 2 5 4 7 1 0,13.136336605079451,4.2159666123719886,3,13.026393492121086,13.32267314601253,4.6622374496989,0.35491153963702055,6.031368291745932,0.45913624727108254,18.39836498535886,1.400570458756723,10.693213251845483,0.814017908745633,11.803420347634408,0.8985321176278596
old-dp,9 8 7 1 2 3 4 6 5 0,72.43814154225166,10.536750288645145,3,63.48739595197311,83.70844088396147,117.3563316830197,1.6200903168473504,92.9665156885516,1.2833917837928817,130.84826337878135,1.806344842550389,50.54237088393854,0.6977314686415337,51.50699052254051,0.7110479289767195
v1,9 8 6 5 4 3 2 7 1 0,22.351995805149443,13.965397449728504,3,21.73454115950134,23.148995049896353,7.137577690343528,0.31932619138641644,7.387807619931227,0.3305211617044607,25.7794941963437,1.1533419396224398,22.752281389144088,1.017908270361362,25.353792046689446,1.1342965642848077
v2,9 8 7 3 6 5 4 2 1 0,18.863657080145078,4.576203775393356,3,18.687433107422418,19.144345055183575,18.274385297048322,0.9687615301426894,15.111830400990064,0.8011082017015674,18.620685440768224,0.9871195898894604,13.37958157842801,0.7092782444879511,14.38040938018529,0.76233411788011
