config,round,order_index,repeat,measured_batches,measured_records,source_records,actors,compute_B_blur_ms_per_record_mean,compute_H_flip_ms_per_record_mean,compute_J_jitter_ms_per_record_mean,compute_sum_ms_per_record_mean,compute_sum_ms_per_record_stdev,other_overhead_ms_per_record_mean,other_overhead_ms_per_record_stdev,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,cpu_sum_ms_per_record_mean,elapsed_ms_per_batch_mean,elapsed_ms_per_batch_stdev,elapsed_ms_per_batch_p50,elapsed_ms_per_batch_p90,compute_sum_ms_per_batch_mean,other_overhead_ms_per_batch_mean,identity_error_ms_per_batch_max
L-U,1,0,1,758,3032,4,0,9.416627333113457,0.052198875989445906,0.4477837879287599,9.916609997031662,8.006365538038985,0.45325670778364124,0.022085455691205656,10.369866704815303,8.010409273503086,9.915717725263852,41.47946681926121,32.041637094012344,31.6547,88.082206,39.66643998812665,1.813026831134565,0.0
L-F,1,1,1,758,3032,4,0,9.436560889511874,0.074281720646438,0.45999599868073876,9.97083860883905,8.018156446252538,0.5067982341688655,0.022919035048807084,10.477636843007916,8.021789000546754,9.969347144788918,41.910547372031665,32.087156002187015,31.909743,88.226058,39.8833544353562,2.027192936675462,0.0
R-U,1,2,1,758,3032,4,3,14.065713460422163,0.15527501517150394,1.0762774927440633,15.297265968337731,9.413665092230962,18.7136614914248,8.163714117112558,34.010927459762534,12.926409910236087,15.358539643469657,136.04370983905014,51.70563964094435,128.740939,210.737837,61.189063873350925,74.8546459656992,2.842170943040401e-14
R-F,1,3,1,758,3032,4,1,11.184304197559367,0.1091307786939314,0.6800526919525066,11.973487668205804,8.429425986734664,7.425039578825857,3.773358170422537,19.398527247031662,9.655851218519878,12.024761015171505,77.59410898812665,38.62340487407951,71.138397,131.419113,47.893950672823216,29.70015831530343,1.4210854715202004e-14
L-F,2,0,1,758,3032,4,0,9.621299374340369,0.0732683166226913,0.4662587859498681,10.160826476912929,8.008289850565594,0.500073527044855,0.019031097884554007,10.660900003957783,8.009874978734542,10.160133283970977,42.64360001583113,32.03949991493817,33.263077,89.371967,40.643305907651715,2.00029410817942,0.0
R-U,2,1,1,758,3032,4,3,13.511629827506598,0.15239948449868074,1.1739816678759893,14.838010979881266,9.501023761905975,20.448534751978894,9.230600068351126,35.28654573186016,13.15706838754357,14.89630470778364,141.14618292744063,52.62827355017428,132.891803,208.456065,59.352043919525066,81.79413900791558,2.842170943040401e-14
R-F,2,2,1,758,3032,4,1,11.434966978562006,0.11257640633245382,0.7044287740765172,12.251972158970977,8.582569639419445,7.161768762203166,1.3925101699969378,19.413740921174142,8.633081560297189,12.308381183707123,77.65496368469657,34.532326241188755,69.987614,125.818064,49.00788863588391,28.647075048812663,7.105427357601002e-15
L-U,2,3,1,758,3032,4,0,9.738854519459103,0.05209903693931398,0.45788637203166227,10.248839928430078,8.032122107841952,0.4530474620712401,0.019950608865925826,10.70188739050132,8.035027782560428,10.246656352242743,42.80754956200528,32.14011113024171,33.139734,88.793349,40.99535971372031,1.8121898482849603,0.0
R-U,3,0,1,758,3032,4,3,13.904594126649076,0.15255476451187336,1.1696438525725594,15.22679274373351,9.622301419261197,20.72300423614776,8.25418796153034,35.94979697988126,12.86051052248914,15.283070528693932,143.79918791952505,51.44204208995656,140.264137,211.60727,60.90717097493404,82.89201694459103,2.842170943040401e-14
R-F,3,1,1,758,3032,4,1,11.300834848614777,0.10935084036939313,0.6915376431398417,12.10172333212401,8.580530161872696,7.892652734168865,5.614580226525927,19.994376066292876,10.82640758078194,12.15441299076517,79.9775042651715,43.30563032312776,71.627544,135.167369,48.40689332849604,31.57061093667546,5.684341886080802e-14
L-U,3,2,1,758,3032,4,0,9.543529882255937,0.05211344986807388,0.46131760653034304,10.056960938654354,8.034395788827306,0.45586750890501315,0.023575682630885216,10.512828447559366,8.040247547411507,10.055332469327178,42.051313790237465,32.16099018964603,31.935923,88.446881,40.22784375461742,1.8234700356200526,0.0
L-F,3,3,1,758,3032,4,0,9.41769041226913,0.07271410356200528,0.4545044673482849,9.94490898317942,8.027168474191475,0.5008640339709762,0.018339893526562148,10.445773017150396,8.028498737651798,9.943017367084433,41.78309206860158,32.11399495060719,31.929407,88.318799,39.77963593271768,2.003456135883905,0.0
