config,round,order_index,repeat,measured_batches,measured_records,source_records,actors,compute_B_blur_ms_per_record_mean,compute_H_flip_ms_per_record_mean,compute_J_jitter_ms_per_record_mean,compute_sum_ms_per_record_mean,compute_sum_ms_per_record_stdev,other_overhead_ms_per_record_mean,other_overhead_ms_per_record_stdev,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,cpu_sum_ms_per_record_mean,elapsed_ms_per_batch_mean,elapsed_ms_per_batch_stdev,elapsed_ms_per_batch_p50,elapsed_ms_per_batch_p90,compute_sum_ms_per_batch_mean,other_overhead_ms_per_batch_mean,identity_error_ms_per_batch_max
L-U,1,0,1,779,3116,4,0,9.856071883825418,0.05424350866495507,0.45666380584082156,10.366979198331194,8.035940432804145,0.4478925397946084,0.021817291843596816,10.8148717381258,8.039699275134408,10.365058218870347,43.2594869525032,32.15879710053763,33.847338,90.608478,41.467916793324775,1.7915701591784337,0.0
L-F,1,1,1,779,3116,4,0,9.38255752567394,0.07386569672657253,0.45322218741976894,9.909645409820282,8.002084277572756,0.4981041498716304,0.011787933544270544,10.407749559691913,8.00248935831548,9.907561626123236,41.63099823876765,32.00995743326192,31.827643,88.229794,39.63858163928113,1.9924165994865215,0.0
R-U,1,2,1,779,3116,4,3,13.742287670410782,0.16091907798459565,1.191409760911425,15.094616509306803,9.117295233994996,19.31064856771502,5.537764993178487,34.405265077021824,10.997450595421608,15.140641584082157,137.6210603080873,43.98980238168643,130.670085,197.235487,60.37846603722721,77.24259427086008,2.842170943040401e-14
R-F,1,3,1,779,3116,4,1,11.072917292682927,0.10952252631578947,0.691416599165597,11.873856418164314,8.628375741073805,7.284091502888319,3.3805769177998886,19.15794792105263,9.399210797447681,11.938471174261874,76.63179168421053,37.596843189790725,70.130756,130.704404,47.495425672657255,29.136366011553275,1.4210854715202004e-14
L-F,2,0,1,779,3116,4,0,9.430476030166881,0.07372931578947368,0.45577685494223363,9.959982200898589,8.011203372560255,0.4968722715019256,0.01605646035404436,10.456854472400513,8.011881219634153,9.95882491335045,41.82741788960205,32.04752487853661,31.903832,88.281036,39.839928803594354,1.9874890860077024,0.0
R-U,2,1,1,779,3116,4,3,13.990919495507061,0.15911217458279847,1.2012947785622594,15.351326448652118,9.05770864451123,21.87093047721438,11.110396800773213,37.222256925866496,14.461582222538166,15.40467025673941,148.88902770346598,57.84632889015266,139.04133,228.716124,61.40530579460847,87.48372190885752,2.842170943040401e-14
R-F,2,2,1,779,3116,4,1,10.478408963414635,0.10169445314505776,0.6459474935815148,11.226050910141208,8.31891985227315,5.959915468870347,2.143381694566669,17.185966379011553,8.629418558936566,11.274338197689346,68.74386551604621,34.51767423574626,62.041996,118.794559,44.90420364056483,23.839661875481386,7.105427357601002e-15
L-U,2,3,1,779,3116,4,0,9.465679428112965,0.05202434948652118,0.45512780840821565,9.972831586007702,8.007619783645373,0.44953385686777936,0.017506509348812715,10.422365442875481,8.009886927341807,9.970541544608473,41.689461771501925,32.03954770936723,31.904499,88.236207,39.89132634403081,1.7981354274711174,0.0
R-U,3,0,1,779,3116,4,3,14.095924453465981,0.16252013350449293,1.214126064826701,15.472570651797176,9.138475494701288,21.594877823491654,9.039395090308807,37.06744847528883,13.085195108705046,15.526594727856226,148.2697939011553,52.34078043482018,138.521949,220.084963,61.8902826071887,86.37951129396662,2.842170943040401e-14
R-F,3,1,1,779,3116,4,1,10.979726073491655,0.10591319929396663,0.6849863276636714,11.770625600449295,8.498028520937222,7.2860112731065465,3.242216673872744,19.05663687355584,9.397991206138105,11.820092146662388,76.22654749422335,37.59196482455242,68.759507,129.036065,47.08250240179718,29.144045092426186,7.105427357601002e-15
L-U,3,2,1,779,3116,4,0,9.524608631899872,0.05220814088575096,0.45356164056482673,10.03037841335045,7.996963830145583,0.4487896826059051,0.016082300079796958,10.479168095956354,7.999600430886808,10.028987466944802,41.916672383825414,31.998401723547232,31.858604,87.973009,40.1215136534018,1.7951587304236205,0.0
L-F,3,3,1,779,3116,4,0,9.533420913992297,0.07350567650834403,0.45537426604621306,10.062300856546855,8.011672683030469,0.49359527984595636,0.015183127517274086,10.55589613639281,8.012277897280551,10.06033672978177,42.22358454557124,32.049111589122205,31.886198,88.788143,40.24920342618742,1.9743811193838254,0.0
