config,level,round,order_index,measured_batches,elapsed_ms_per_record_mean,elapsed_ms_per_record_stdev,compute_ms_per_record_mean,other_ms_per_record_mean,actors,gcs_disabled
U,1,1,0,120,41.11987578125,10.222422311780802,6.437456427083333,34.68241935416667,3,True
U,4,1,1,120,56.3782486625,13.402345009476841,19.795621739583332,36.58262692291667,3,True
U,16,1,2,120,88.39112823125,19.737208823755573,50.310006506250005,38.081121725,3,True
U,64,1,3,120,220.39437610208333,44.28519355972338,167.24902624375,53.14534985833334,3,True
F,1,1,4,120,17.978172006250002,6.325607999952544,5.501132887500001,12.477039118750001,1,True
F,4,1,5,120,24.775988199999997,6.719975371635403,13.022119047916668,11.753869152083332,1,True
F,16,1,6,120,45.82237904791667,12.726558384100063,37.065351560416666,8.7570274875,1,True
F,64,1,7,120,170.96331164166668,48.57080661727319,156.62409882708334,14.339212814583334,1,True
P,16,1,8,120,74.45701313333333,11.12027810773218,47.96636166458334,26.49065146875,2,True
U,4,2,0,120,56.64390247708333,8.560036173477675,19.3103318125,37.333570664583334,3,True
U,16,2,1,120,86.87666957916667,11.264252449383859,52.75792748333333,34.11874209583333,3,True
U,64,2,2,120,185.26559421041665,35.18019217285307,156.79137095416667,28.47422325625,3,True
F,1,2,3,120,13.97683858125,1.3350565161699666,5.19540785625,8.781430725,1,True
F,4,2,4,120,20.7906666,2.6571347710411795,12.39372895625,8.39693764375,1,True
F,16,2,5,120,52.45371736458333,11.129027218636972,43.618681974999994,8.835035389583334,1,True
F,64,2,6,120,178.59769902291666,45.76550477936397,169.82909251041667,8.768606512499998,1,True
P,16,2,7,120,56.2971491125,6.398075045584021,39.2489431125,17.048206,2,True
U,1,2,8,120,35.37258833125,1.8185985088598204,6.2003083375,29.17227999375,3,True
U,16,3,0,120,78.60850567083334,7.868288003489799,50.18174027291666,28.426765397916665,3,True
U,64,3,1,120,158.33198654999998,26.19188240967878,129.91743995416667,28.41454659583333,3,True
F,1,3,2,120,16.125820947916665,1.9196501804439845,6.272109781249999,9.853711166666667,1,True
F,4,3,3,120,22.667482904166665,2.6114233472873436,13.081751095833333,9.585731808333332,1,True
F,16,3,4,120,39.67077322916667,9.62802889067699,30.3153769,9.355396329166666,1,True
F,64,3,5,120,162.1887463291667,47.73182746343816,152.42907253125,9.759673797916667,1,True
P,16,3,6,120,58.012001991666665,8.783659999980536,39.03135940208333,18.980642589583333,2,True
U,1,3,7,120,35.33005372708333,2.943802613484982,6.114681822916666,29.215371904166666,3,True
U,4,3,8,120,48.295414210416666,3.9757487533561138,19.154151485416666,29.141262725,3,True
