config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_A_ms_per_batch,compute_A_ms_per_record,cpu_A_ms_per_batch,compute_B_ms_per_batch,compute_B_ms_per_record,cpu_B_ms_per_batch,compute_C_ms_per_batch,compute_C_ms_per_record,cpu_C_ms_per_batch
U,1,1,0,0,4,144.863514,0.0,0.0,144.863514,36.2158785,0.0,36.2158785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,1,4,164.191847,0.0,0.0,164.191847,41.04796175,0.0,41.04796175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,2,4,169.081151,0.0,0.0,169.081151,42.27028775,0.0,42.27028775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,3,4,139.155319,0.0,0.0,139.155319,34.78882975,0.0,34.78882975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,4,4,135.266562,0.0,0.0,135.266562,33.8166405,0.0,33.8166405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,5,4,170.771721,0.0,0.0,170.771721,42.69293025,0.0,42.69293025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,6,4,140.787684,0.0,0.0,140.787684,35.196921,0.0,35.196921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,7,4,152.224817,0.0,0.0,152.224817,38.05620425,0.0,38.05620425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,8,4,157.324384,0.0,0.0,157.324384,39.331096,0.0,39.331096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,9,4,154.26415,0.0,0.0,154.26415,38.5660375,0.0,38.5660375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,10,4,145.632904,0.0,0.0,145.632904,36.408226,0.0,36.408226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,11,4,131.375302,0.0,0.0,131.375302,32.8438255,0.0,32.8438255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,12,4,174.273073,0.0,0.0,174.273073,43.56826825,0.0,43.56826825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,13,4,149.020839,0.0,0.0,149.020839,37.25520975,0.0,37.25520975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,14,4,138.495651,0.0,0.0,138.495651,34.62391275,0.0,34.62391275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,15,4,167.62328,0.0,0.0,167.62328,41.90582,0.0,41.90582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,16,4,152.43588,0.0,0.0,152.43588,38.10897,0.0,38.10897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,17,4,150.910914,0.0,0.0,150.910914,37.7277285,0.0,37.7277285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,18,4,164.391438,0.0,0.0,164.391438,41.0978595,0.0,41.0978595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,19,4,137.750848,0.0,0.0,137.750848,34.437712,0.0,34.437712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,20,4,135.236343,0.0,0.0,135.236343,33.80908575,0.0,33.80908575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,21,4,162.509512,0.0,0.0,162.509512,40.627378,0.0,40.627378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,22,4,152.085561,0.0,0.0,152.085561,38.02139025,0.0,38.02139025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,23,4,138.393754,0.0,0.0,138.393754,34.5984385,0.0,34.5984385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,24,4,140.898185,0.0,0.0,140.898185,35.22454625,0.0,35.22454625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,25,4,154.293319,0.0,0.0,154.293319,38.57332975,0.0,38.57332975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,26,4,149.812549,0.0,0.0,149.812549,37.45313725,0.0,37.45313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,27,4,127.226328,0.0,0.0,127.226328,31.806582,0.0,31.806582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,1,1,0,28,4,173.138219,0.0,0.0,173.138219,43.28455475,0.0,43.28455475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
