panel,x,series,metric,value
A,1,measured,retention,0.42997450302801926
A,1,cedar_rho,retention,0.5
A,1,rule,retention,0.5
A,1,member_share,share,0.16769830397131283
A,4,measured,retention,0.42298021022151927
A,4,cedar_rho,retention,0.5
A,4,rule,retention,0.5
A,4,member_share,share,0.3611516508515171
A,16,measured,retention,0.5433625263566779
A,16,cedar_rho,retention,0.5
A,16,rule,retention,0.5
A,16,member_share,share,0.603639143004216
A,64,measured,retention,0.907370665072292
A,64,cedar_rho,retention,0.5
A,64,rule,retention,0.5
A,64,member_share,share,0.804901260786521
B,U,measured,retention_vs_U,1.0
B,P,measured,retention_vs_U,0.42421281233377445
B,F,measured,retention_vs_U,0.23296044739129734
C,U,measured,speedup_vs_U,1.0
C,U,predicted,speedup_vs_U,1.0
C,P,measured,speedup_vs_U,2.70862618174771
C,P,predicted,speedup_vs_U,1.7650670392860892
C,F,measured,speedup_vs_U,3.0341716073621035
C,F,predicted,speedup_vs_U,1.8384005004061827
