repeat,config,workers,label,returncode,num_samples,perf_time_sec,throughput_samples_per_sec,setup_time_sec,total_time_sec,wall_time_sec,actors,epochs,plan_path,plan_sha256
1,L-U,1,L-U_w1_r1,0,80000,1082.9313987428322,73.87356215995904,2.7965296269394457,1086.9405231210403,1090.270708322525,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-U_w1.yaml,c6814b51ad2b7d4543573c336ad81eee749c7f15840415a35fcfad8b5febcfce
1,L-U,64,L-U_w64_r1,0,80000,34.828521634917706,2296.968009109957,2.7926221559755504,39.558216171339154,44.506513357162476,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-U_w64.yaml,bb6dbb35da3e2b8697e9e79c1cf7f082362fc17f293d8134aeac277dfdf7598c
1,L-F,1,L-F_w1_r1,0,80000,1077.4190430389717,74.25151849400372,2.8590074898675084,1081.4806387196295,1084.36510181427,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-F_w1.yaml,9a719f81306b926a54e0ef63a00b3e82fb7823096ab82abb95addbe2439459ee
1,L-F,64,L-F_w64_r1,0,80000,33.83328115707263,2364.535666186089,2.886102086864412,38.68711886089295,43.76441788673401,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-F_w64.yaml,17d93a8bdbdc43b4786fc8be6dc85b30fe28c290be4d801b0e1f6d1c5da23490
1,R-U,1,R-U_w1_r1,0,80000,768.2506149457768,104.1326859278159,8.169233726803213,780.1649181968533,783.7711420059204,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-U_w1.yaml,2bd426e07b6335af0abf0d3c4e526dc0fbfdab57ad63d2b7458c9e7fe872f238
1,R-U,64,R-U_w64_r1,1,,,,,,259.7755196094513,{},,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-U_w64.yaml,4b43c90a3388e3547ee85d43f84db5437a022733d0d35658a43a0bffe6d5e61f
1,R-F,1,R-F_w1_r1,0,80000,813.0676557500847,98.39279601670671,4.727888530120254,820.7973906151019,824.2734463214874,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-F_w1.yaml,6a94250210bbf2d2ebed2432307bc33a504203ced94e4f5f16bf06697d6f9ea0
1,R-F,64,R-F_w64_r1,0,80000,64.72366626560688,1236.0239247218094,2.7843151981942356,86.81195695418864,95.1130108833313,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-F_w64.yaml,ee1b79dbc1703d6c0fb8d53fc4afa6b99358e3d936698d467bafa515bd090734
2,L-U,64,L-U_w64_r2,0,80000,34.511571620590985,2318.0630798125926,2.813733081333339,39.273405452258885,44.217676639556885,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-U_w64.yaml,bb6dbb35da3e2b8697e9e79c1cf7f082362fc17f293d8134aeac277dfdf7598c
2,L-F,1,L-F_w1_r2,0,80000,1082.7729393457994,73.88437325404087,2.8492509801872075,1086.717259564437,1089.79345369339,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-F_w1.yaml,9a719f81306b926a54e0ef63a00b3e82fb7823096ab82abb95addbe2439459ee
2,L-F,64,L-F_w64_r2,0,80000,33.94911750406027,2356.4677341150946,2.930437443777919,38.68567739194259,44.173158407211304,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-F_w64.yaml,17d93a8bdbdc43b4786fc8be6dc85b30fe28c290be4d801b0e1f6d1c5da23490
2,R-U,1,R-U_w1_r2,0,80000,778.650438642595,102.74186724849514,8.337016217876226,791.0335761918686,794.1444501876831,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-U_w1.yaml,2bd426e07b6335af0abf0d3c4e526dc0fbfdab57ad63d2b7458c9e7fe872f238
2,R-U,64,R-U_w64_r2,1,,,,,,261.6295871734619,{},,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-U_w64.yaml,4b43c90a3388e3547ee85d43f84db5437a022733d0d35658a43a0bffe6d5e61f
2,R-F,1,R-F_w1_r2,0,80000,841.6459195287898,95.05184798470763,4.985788219142705,849.0610890770331,852.3363943099976,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-F_w1.yaml,6a94250210bbf2d2ebed2432307bc33a504203ced94e4f5f16bf06697d6f9ea0
2,R-F,64,R-F_w64_r2,0,80000,68.29138507135212,1171.450834046117,2.83223247108981,90.88193904981017,99.12085556983948,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-F_w64.yaml,ee1b79dbc1703d6c0fb8d53fc4afa6b99358e3d936698d467bafa515bd090734
2,L-U,1,L-U_w1_r2,0,80000,1089.303907216061,73.44139635416931,2.938167044892907,1093.1555883558467,1096.1413788795471,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-U_w1.yaml,c6814b51ad2b7d4543573c336ad81eee749c7f15840415a35fcfad8b5febcfce
3,L-F,1,L-F_w1_r3,0,80000,1092.1125669707544,73.252522147877,2.908549401909113,1096.1422945931554,1099.1674966812134,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-F_w1.yaml,9a719f81306b926a54e0ef63a00b3e82fb7823096ab82abb95addbe2439459ee
3,L-F,64,L-F_w64_r3,0,80000,34.635686688590795,2309.7564289479637,2.8867174461483955,39.401729797478765,44.41707134246826,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-F_w64.yaml,17d93a8bdbdc43b4786fc8be6dc85b30fe28c290be4d801b0e1f6d1c5da23490
3,R-U,1,R-U_w1_r3,0,80000,798.2081143246032,100.2244885316548,8.133102876134217,809.8748884662054,813.160562992096,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-U_w1.yaml,2bd426e07b6335af0abf0d3c4e526dc0fbfdab57ad63d2b7458c9e7fe872f238
3,R-U,64,R-U_w64_r3,1,,,,,,259.9915268421173,{},,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-U_w64.yaml,4b43c90a3388e3547ee85d43f84db5437a022733d0d35658a43a0bffe6d5e61f
3,R-F,1,R-F_w1_r3,0,80000,825.791470868513,96.87675741656822,4.641185802407563,833.1692609777674,836.2970862388611,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-F_w1.yaml,6a94250210bbf2d2ebed2432307bc33a504203ced94e4f5f16bf06697d6f9ea0
3,R-F,64,R-F_w64_r3,0,80000,67.88324418244883,1178.4940593732547,2.6676665619015694,89.64615058805794,97.78316354751587,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/R-F_w64.yaml,ee1b79dbc1703d6c0fb8d53fc4afa6b99358e3d936698d467bafa515bd090734
3,L-U,1,L-U_w1_r3,0,80000,1079.6538624656387,74.09782225694218,2.7125215618871152,1083.3244050387293,1086.3012075424194,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-U_w1.yaml,c6814b51ad2b7d4543573c336ad81eee749c7f15840415a35fcfad8b5febcfce
3,L-U,64,L-U_w64_r3,0,80000,35.16169358789921,2275.2032634608863,2.712553283199668,39.91788571327925,44.983949422836304,{},9,outputs/simclrv2_fusion_offload_mechanism_20260923/plans/L-U_w64.yaml,bb6dbb35da3e2b8697e9e79c1cf7f082362fc17f293d8134aeac277dfdf7598c
