workload	entity	status	mean_execution_sec	sd_execution_sec	repeats	samples	measurement_kind	reasons
commonvoice	optimizer:optimizer	success	719.1355230140034	3.157050185795409	3	160000	exact measured execution	
commonvoice	optimizer:dj_optimizer	success	731.7015467713354	2.501640444022677	3	160000	exact measured execution	
commonvoice	optimizer:dp_cedar_optimizer	success	719.451318833686	1.702232284221945	3	160000	exact measured execution	
commonvoice	optimizer:pecan_optimizer	success	720.3641337756999	1.23263313832176	3	160000	exact measured execution	
commonvoice	optimizer:dp_optimizer	success	607.0546370523322	4.545979323664313	3	160000	exact measured execution	
commonvoice	system:pytorch	success	1596.4756473783248	11.261812167373023	3	160000	exact measured execution	
commonvoice	system:tensorflow	success	3127.880402078697	33.21971099411867	3	160000	exact measured execution	
commonvoice	system:ray	success	777.2682500809897	3.049168599109866	3	160000	exact measured execution	
commonvoice	system:plumber	success	8732.884536017771	358.7445058532956	3	160000	exact measured execution	
commonvoice	system:fastflow	infeasible_timeout			0	160000		execution exceeded 3600s
commonvoice_cache	optimizer:optimizer	success	119.95183106267359	50.70790143808192	3	160000	exact measured execution	
commonvoice_cache	optimizer:dj_optimizer	success	88.87183528201422	1.2426467614595433	3	160000	exact measured execution	
commonvoice_cache	optimizer:dp_cedar_optimizer	success	89.1082414299987	0.8070446226762225	3	160000	exact measured execution	
commonvoice_cache	optimizer:pecan_optimizer	success	89.62054496365211	0.47020909370237557	3	160000	exact measured execution	
commonvoice_cache	optimizer:dp_optimizer	success	89.66697516498	2.7030717543923615	3	160000	exact measured execution	
commonvoice_cache	system:pytorch	success	1594.047713812363	6.360527954456741	3	160000	exact measured execution	
commonvoice_cache	system:tensorflow	infeasible_timeout			0	160000		execution exceeded 3600s
commonvoice_cache	system:ray	success	36.86863710735148	1.6599248155588717	3	160000	exact measured execution	
commonvoice_cache	system:plumber	success	8607.435711772363	302.4411317985411	3	160000	exact measured execution	
commonvoice_cache	system:fastflow	infeasible_timeout			0	160000		execution exceeded 3600s
simclrv2	optimizer:optimizer	success	13.094985500676557	0.3966321783157403	3	9469	exact measured execution	
simclrv2	optimizer:dj_optimizer	success	31.662489829352126	0.40150329073265206	3	9469	exact measured execution	
simclrv2	optimizer:dp_cedar_optimizer	success	12.887886019675838	0.598892813077004	3	9469	exact measured execution	
simclrv2	optimizer:pecan_optimizer	success	13.197919136359511	0.31662794896296403	3	9469	exact measured execution	
simclrv2	optimizer:dp_optimizer	success	12.603526976696836	0.4068472545433051	3	9469	exact measured execution	
simclrv2	system:pytorch	success	42.02129420964047	0.8963951337361913	3	9469	exact measured execution	
simclrv2	system:tensorflow	success	21.45897125968865	0.30377499615289566	3	9469	exact measured execution	
simclrv2	system:ray	success	35.28634492629984	0.6192784578270576	3	9469	exact measured execution	
simclrv2	system:plumber	success	61.88931715138754	0.4581166302598129	3	9469	exact measured execution	
simclrv2	system:fastflow	infeasible_timeout			0	9469		execution exceeded 3600s
