num_operators,backends_k,reorder_source,reorder_orders,placement_choices,fusion_choices_upper_bound,cache_positions,staged_plan_upper_bound,joint_plan_upper_bound,reorder_seconds,candidate_visit_seconds,optimistic_staged_seconds,optimistic_joint_seconds,extrapolation_fit_start_n,extrapolation_log_factorial_slope,extrapolation_intercept
1,3,measured,1,3,2,1,6,6,0.00027414807118475437,0.00027414807118475437,0.0016448884271085262,0.0016448884271085262,6,1.0850320249796628,-9.071114055054613
2,3,measured,2,9,4,2,72,144,0.0003348251339048147,0.00016741256695240736,0.01205370482057333,0.02410740964114666,6,1.0850320249796628,-9.071114055054613
3,3,measured,6,27,8,3,648,3888,0.0011087199673056602,0.00018478666121761003,0.1197417564690113,0.7184505388140678,6,1.0850320249796628,-9.071114055054613
4,3,measured,24,81,16,4,5184,124416,0.0037791228387504816,0.0001574634516146034,0.816290533170104,19.590972796082497,6,1.0850320249796628,-9.071114055054613
5,3,measured,120,243,32,5,38880,4665600,0.01848292490467429,0.0001540243742056191,5.9884676691144705,718.6161202937365,6,1.0850320249796628,-9.071114055054613
6,3,measured,720,729,64,6,279936,201553920,0.12407473614439368,0.000172326022422769,48.24025741294027,34732.98533731699,6,1.0850320249796628,-9.071114055054613
7,3,measured,5040,2187,128,7,1959552,9876142080,1.4308162219822407,0.00028389210753615885,556.3013471066952,2803758.7894177437,6,1.0850320249796628,-9.071114055054613
8,3,measured,40320,6561,256,8,13436928,541776936960,11.721452250145376,0.00029071062128336743,3906.257687019876,157500309.9406414,6,1.0850320249796628,-9.071114055054613
9,3,measured,362880,19683,512,9,90699264,32912948920320,124.91784064890817,0.0003442400811532963,31222.32199990425,11329956207.325253,6,1.0850320249796628,-9.071114055054613
10,3,measured,3628800,59049,1024,10,604661760,2194196594688000,1419.7671867979225,0.00039124977590330757,236573.77809729954,858478925959.4806,6,1.0850320249796628,-9.071114055054613
11,3,trend_extrapolation,39916800,177147,2048,11,3990767616,159298672774348800,20321.82008455294,0.0005091044393476667,2031717.5097105042,81099661491612.27,6,1.0850320249796628,-9.071114055054613
12,3,trend_extrapolation,479001600,531441,4096,12,26121388032,12512186661548851200,301237.34749135305,0.0006288858899246956,16427372.358572613,7868737643552055.0,6,1.0850320249796628,-9.071114055054613
