workload	operator_count	samples	optimizer	status	mean_execution_sec	sd_execution_sec	repeats	execution_times_sec	setup_sec
commonvoice	7	10000	optimizer	success	48.50980043814828	0.49538749171036967	3	48.192202707752585,49.08061572071165,48.256582885980606	2.680100948084146
commonvoice	7	10000	dj_optimizer	success	49.36268628248945	0.2544426519676712	3	49.651888196822256,49.26294903783128,49.173221612814814	2.6854644371196628
commonvoice	7	10000	pecan_optimizer	success	48.488128027723484	0.13997047637401147	3	48.357294911984354,48.4713633460924,48.63572582509369	2.6802573651075363
commonvoice	7	10000	dj_two_stage_optimizer	success	38.11519753917431	0.20046780305554548	3	38.17769231600687,37.89092646772042,38.27697383379564	5.194589739199728
commonvoice	7	10000	pecan_two_stage_optimizer	success	37.13112858667349	0.3147098442023498	3	37.105013702996075,37.458082182798535,36.830289874225855	5.498100035823882
commonvoice	7	10000	simple_dp_optimizer	success	22.690115112345666	0.6130654151175202	3	22.211047270335257,22.47829583985731,23.38100222684443	2.6920921080745757
commonvoice	7	10000	dp_optimizer	success	78.33666921872646	0.6609167171777901	3	79.03734607482329,78.24824654916301,77.72441503219306	2.8119821562431753
alpaca_cot	8	20000	optimizer	success	28.859821959010635	0.27608279153898396	3	28.666634110035375,29.17603043001145,28.73680133698508	2.7519510919228196
alpaca_cot	8	20000	dj_optimizer	success	28.969537476310506	0.18899339435328666	3	28.86085680499673,28.859987949952483,29.187767673982307	2.7622294740285724
alpaca_cot	8	20000	pecan_optimizer	success	28.95887441459733	0.2181676256643953	3	28.961800331948325,28.739258545916528,29.17556436592713	2.945988604100421
alpaca_cot	8	20000	dj_two_stage_optimizer	success	68.32535805196191	1.1196121135649861	3	68.55271486798301,67.10951679595746,69.31384249194525	15.940968620823696
alpaca_cot	8	20000	pecan_two_stage_optimizer	success	69.37791053570497	2.1544716462155726	3	67.57969341799617,68.78820766508579,71.76583052403294	15.832860432099551
alpaca_cot	8	20000	simple_dp_optimizer	success	28.933186281317223	0.15588997334962618	3	28.759409036953002,29.060729371849447,28.979420435149223	2.8132992000319064
alpaca_cot	8	20000	dp_optimizer	success	129.64006232656538	0.3339718137994112	3	129.39567836280912,130.02060393802822,129.50390467885882	4.694561262615025
simclrv2_cache	9	9469	optimizer	success	14.036581068920592	0.3874228150514295	3	14.388074241578579,13.62117670616135,14.100492259021848	2.8646332062780857
simclrv2_cache	9	9469	dj_optimizer	success	30.243158953264356	0.5651030243749333	3	29.73950329888612,30.85427728202194,30.135696278885007	2.6662974399514496
simclrv2_cache	9	9469	pecan_optimizer	success	13.90417872912561	0.0823065361660137	3	13.999168183188885,13.859352074097842,13.8540159300901	2.699937572237104
