workload	operator_count	samples	optimizer	status	execution_sec	setup_sec	result_source	setup_source
coco	6	118287	dj_optimizer	execution_timeout		2.6054515640134923	coco/results/round1__dj_optimizer.timeout.json	coco/warmup_results/plan_only__dj_optimizer.json
coco	6	118287	pecan_optimizer	execution_timeout		2.6436090979841538	coco/results/round1__pecan_optimizer.timeout.json	coco/warmup_results/plan_only__pecan_optimizer.json
coco	6	118287	simple_dp_optimizer	success	876.4060795819969	2.6498039700090885	coco/results/round1__simple_dp_optimizer.json	coco/warmup_results/plan_only__simple_dp_optimizer.json
coco	6	118287	dp_optimizer	success	881.5596801810316	2.833444331015926	coco/results/round1__dp_optimizer.json	coco/warmup_results/plan_only__dp_optimizer.json
commonvoice	7	240000	dj_optimizer	success	1259.8383855769644	2.548172643990256	commonvoice/results/round1__dj_optimizer.json	commonvoice/warmup_results/plan_only__dj_optimizer.json
commonvoice	7	240000	pecan_optimizer	success	1260.1128717100364	2.5897784819826484	commonvoice/results/round1__pecan_optimizer.json	commonvoice/warmup_results/plan_only__pecan_optimizer.json
commonvoice	7	240000	simple_dp_optimizer	success	1277.2703132780152	2.54388802300673	commonvoice/results/round1__simple_dp_optimizer.json	commonvoice/warmup_results/plan_only__simple_dp_optimizer.json
commonvoice	7	240000	dp_optimizer	success	564.843208729988	2.680982800957281	commonvoice/results/round1__dp_optimizer.json	commonvoice/warmup_results/plan_only__dp_optimizer.json
alpaca_cot	8	60000	dj_optimizer	success	25.435140785994008	2.7170076959882863	alpaca_cot/results/round1__dj_optimizer.json	alpaca_cot/warmup_results/plan_only__dj_optimizer.json
alpaca_cot	8	60000	pecan_optimizer	success	25.277770560991485	2.684267111006193	alpaca_cot/results/round1__pecan_optimizer.json	alpaca_cot/warmup_results/plan_only__pecan_optimizer.json
alpaca_cot	8	60000	simple_dp_optimizer	success	26.1771992710419	2.720014786988031	alpaca_cot/results/round1__simple_dp_optimizer.json	alpaca_cot/warmup_results/plan_only__simple_dp_optimizer.json
alpaca_cot	8	60000	dp_optimizer	success	24.844344398006797	23.919772159017157	alpaca_cot/results/round1__dp_optimizer.json	alpaca_cot/warmup_results/plan_only__dp_optimizer.json
simclrv2	9	9469	dj_optimizer	success	56.047618977027014	2.532933075039182	simclrv2/results/round1__dj_optimizer.json	simclrv2/warmup_results/plan_only__dj_optimizer.json
simclrv2	9	9469	pecan_optimizer	success	56.020590025000274	2.551530828990508	simclrv2/results/round1__pecan_optimizer.json	simclrv2/warmup_results/plan_only__pecan_optimizer.json
simclrv2	9	9469	simple_dp_optimizer	success	28.07736215100158	2.7878346490324475	simclrv2/results/round1__simple_dp_optimizer.json	simclrv2/warmup_results/plan_only__simple_dp_optimizer.json
simclrv2	9	9469	dp_optimizer	success	9.64728599297814	6.343081925006118	simclrv2/results/round1__dp_optimizer.json	simclrv2/warmup_results/plan_only__dp_optimizer.json
simclrv2_cache	9	9469	dj_optimizer	success	54.908220164012164	2.5434961519786157	simclrv2_cache/results/round1__dj_optimizer.json	simclrv2_cache/warmup_results/plan_only__dj_optimizer.json
simclrv2_cache	9	9469	pecan_optimizer	success	19.525687079003546	2.546130931004882	simclrv2_cache/results/round1__pecan_optimizer.json	simclrv2_cache/warmup_results/plan_only__pecan_optimizer.json
simclrv2_cache	9	9469	simple_dp_optimizer	success	6.016374847968109	2.7557772989966907	simclrv2_cache/results/round1__simple_dp_optimizer.json	simclrv2_cache/warmup_results/plan_only__simple_dp_optimizer.json
simclrv2_cache	9	9469	dp_optimizer	success	8.375577091996092	154.59331663697958	simclrv2_cache/results/round1__dp_optimizer.json	simclrv2_cache/warmup_results/plan_only__dp_optimizer.json
wikitext103_cache	9	500000	dj_optimizer	success	303.24209894199157	7.72402082500048	wikitext103_cache/results/round1__dj_optimizer.json	wikitext103_cache/warmup_results/plan_only__dj_optimizer.json
wikitext103_cache	9	500000	pecan_optimizer	success	306.6282677280251	7.787656697968487	wikitext103_cache/results/round1__pecan_optimizer.json	wikitext103_cache/warmup_results/plan_only__pecan_optimizer.json
wikitext103_cache	9	500000	simple_dp_optimizer	success	293.3293465930037	7.768350428028498	wikitext103_cache/results/round1__simple_dp_optimizer.json	wikitext103_cache/warmup_results/plan_only__simple_dp_optimizer.json
wikitext103_cache	9	500000	dp_optimizer	success	309.2007186849951	25.48276091599837	wikitext103_cache/results/round1__dp_optimizer.json	wikitext103_cache/warmup_results/plan_only__dp_optimizer.json
redpajama_code	17	61249	dj_optimizer	success	459.4011709530023	2.985284459020477	redpajama_code/results/round1__dj_optimizer.json	redpajama_code/warmup_results/plan_only__dj_optimizer.json
redpajama_code	17	61249	pecan_optimizer	success	462.5000440120348	3.0179706959752366	redpajama_code/results/round1__pecan_optimizer.json	redpajama_code/warmup_results/plan_only__pecan_optimizer.json
redpajama_code	17	61249	simple_dp_optimizer	success	391.59734901197953	4.529132857976947	redpajama_code/results/round1__simple_dp_optimizer.json	redpajama_code/warmup_results/plan_only__simple_dp_optimizer.json
redpajama_code	17	61249	dp_optimizer	plan_timeout		360.0	redpajama_code/plans/dp_optimizer.unavailable.json	
pile_hackernews	18	99540	dj_optimizer	success	2075.4337627209607	3.031132025993429	pile_hackernews/results/round1__dj_optimizer.json	pile_hackernews/warmup_results/plan_only__dj_optimizer.json
pile_hackernews	18	99540	pecan_optimizer	success	1832.6989657550002	3.04694809805369	pile_hackernews/results/round1__pecan_optimizer.json	pile_hackernews/warmup_results/plan_only__pecan_optimizer.json
pile_hackernews	18	99540	simple_dp_optimizer	success	2419.904292976018	40.654625194030814	pile_hackernews/results/round1__simple_dp_optimizer.json	pile_hackernews/warmup_results/plan_only__simple_dp_optimizer.json
pile_hackernews	18	99540	dp_optimizer	success	1308.0533564370126	350.3693528159638	pile_hackernews/results/round1__dp_optimizer.json	pile_hackernews/warmup_results/plan_only__dp_optimizer.json
stackexchange	19	200000	dj_optimizer	success	1764.4287139200023	3.06749662803486	stackexchange/results/round1__dj_optimizer.json	stackexchange/warmup_results/plan_only__dj_optimizer.json
stackexchange	19	200000	pecan_optimizer	success	2075.425955640967	2.9365102499723434	stackexchange/results/round1__pecan_optimizer.json	stackexchange/warmup_results/plan_only__pecan_optimizer.json
stackexchange	19	200000	simple_dp_optimizer	success	1125.1340956380009	52.11480366298929	stackexchange/results/round1__simple_dp_optimizer.json	stackexchange/warmup_results/plan_only__simple_dp_optimizer.json
stackexchange	19	200000	dp_optimizer	success	1117.0646646899986	312.06767093599774	stackexchange/results/round1__dp_optimizer.json	stackexchange/warmup_results/plan_only__dp_optimizer.json
pile_pubmed_abstracts	19	96785	dj_optimizer	success	474.69852743000956	3.199834194034338	pile_pubmed_abstracts/results/round1__dj_optimizer.json	pile_pubmed_abstracts/warmup_results/plan_only__dj_optimizer.json
pile_pubmed_abstracts	19	96785	pecan_optimizer	success	452.69774055399466	3.2031046230113134	pile_pubmed_abstracts/results/round1__pecan_optimizer.json	pile_pubmed_abstracts/warmup_results/plan_only__pecan_optimizer.json
pile_pubmed_abstracts	19	96785	simple_dp_optimizer	success	629.7539574520197	49.038064640015364	pile_pubmed_abstracts/results/round1__simple_dp_optimizer.json	pile_pubmed_abstracts/warmup_results/plan_only__simple_dp_optimizer.json
pile_pubmed_abstracts	19	96785	dp_optimizer	success	314.76910107495496	309.0711253719637	pile_pubmed_abstracts/results/round1__dp_optimizer.json	pile_pubmed_abstracts/warmup_results/plan_only__dp_optimizer.json
pile_uspto_backgrounds	19	50000	dj_optimizer	success	522.0262827510014	3.2054577919770963	pile_uspto_backgrounds/results/round1__dj_optimizer.json	pile_uspto_backgrounds/warmup_results/plan_only__dj_optimizer.json
pile_uspto_backgrounds	19	50000	pecan_optimizer	success	552.5614374940051	3.2088102900306694	pile_uspto_backgrounds/results/round1__pecan_optimizer.json	pile_uspto_backgrounds/warmup_results/plan_only__pecan_optimizer.json
pile_uspto_backgrounds	19	50000	simple_dp_optimizer	success	871.734888528008	48.70007118297508	pile_uspto_backgrounds/results/round1__simple_dp_optimizer.json	pile_uspto_backgrounds/warmup_results/plan_only__simple_dp_optimizer.json
pile_uspto_backgrounds	19	50000	dp_optimizer	success	398.4373729689978	308.58684469398577	pile_uspto_backgrounds/results/round1__dp_optimizer.json	pile_uspto_backgrounds/warmup_results/plan_only__dp_optimizer.json
