optimizer,num_independent_ops,candidate_orders,dp_states,repeats_completed,mean_seconds,median_seconds,min_seconds,max_seconds,status
cedar,2,2,4,3,0.00018987804651260376,0.00017957505770027637,0.0001756441779434681,0.0002144149038940668,ok
cedar,3,6,8,3,0.0004947466465334097,0.0004937141202390194,0.00048319785855710506,0.0005073279608041048,ok
cedar,4,24,16,3,0.0018840290916462739,0.0018809090834110975,0.0018685110844671726,0.0019026671070605516,ok
cedar,5,120,32,3,0.009057932222882906,0.009178789798170328,0.008741339901462197,0.009253666969016194,ok
cedar,6,720,64,3,0.05495651027498146,0.054904071846976876,0.05488444212824106,0.05508101684972644,ok
cedar,7,5040,128,3,0.5853197913772116,0.6161708310246468,0.42484576418064535,0.7149427789263427,ok
cedar,8,40320,256,3,5.335954470016683,5.275328313931823,5.170210076030344,5.562325020087883,ok
cedar,9,362880,512,3,52.779264226322994,51.93925762409344,51.25663093687035,55.141904118005186,ok
cedar,10,3628800,1024,3,594.9301977722595,620.2318938709795,541.0217949419748,623.5369045038242,ok
cedar,11,39916800,2048,1,3675.141798167955,3675.141798167955,3675.141798167955,3675.141798167955,timeout
