sha256	bytes	path
b9909d30c2a9f629d22d8cb337480f0e993bb5c0b508a4435989e0c741260d5b	2524	README.md
39399f5c77345333d7a7cae1546b32572d549eb8b384ff02f4e77910f06b95e4	34904	data/data_pipeline_matrix.json
c855360bba91b0d6b416e276bde4043c5e188e1989395ca4a77984b58275462f	368	data/dp_no_wall_clock/coco/metadata.txt
65ef040fa4e316b5ef77da4f2897de1c3ade12f3948dbf41eafb9d176551598e	1300	data/dp_no_wall_clock/coco/plans/dp_optimizer.yaml
62b4b02b0be306e8c98c77f4db6f8416df40785696549f2604faa27ab71ffcd6	134	data/dp_no_wall_clock/coco/results/round1__dp_optimizer.json
8658d02b91e7302a91bd323f06efc74fc4c8ef6bfaf5097f8ab7412e31c5f8c9	133	data/dp_no_wall_clock/coco/results/round2__dp_optimizer.json
2ec21b27b3c520ebd8ee305ef8b20c76589208e61676795b13ac4186e4967633	133	data/dp_no_wall_clock/coco/results/round3__dp_optimizer.json
c89e5c9e5a6d01b96bbaeb3d04d2caf741ce3a6704bc0a6920c44b70ee0f9eea	2338	data/dp_no_wall_clock/coco/warmup_results/plan_only__dp_optimizer.json
35732f629bd3874e9986b9fd82db017f443c73ea8d3239d963ebbb43181253cf	356	data/dp_no_wall_clock/simclrv2/metadata.txt
964122b8b0aee7979f1bc0e2d0a74de03bf6610d36e1e8eada4f245361b2cef0	1706	data/dp_no_wall_clock/simclrv2/plans/dp_optimizer.yaml
70032ac8dba5811a8ebf6e3bca336ffe5557c6e5dddfd95612189dc3e2aa799f	132	data/dp_no_wall_clock/simclrv2/results/round1__dp_optimizer.json
93df2b17f2dd642d98e2cf50311ab548a47d7fccfdeed120ac9a58018c81364e	131	data/dp_no_wall_clock/simclrv2/results/round2__dp_optimizer.json
49a51582255ca70971eab75000b6e8c85bc821e9e6a1616201daa60acdfe828b	132	data/dp_no_wall_clock/simclrv2/results/round3__dp_optimizer.json
aa834b14889a18316b809ab127bd29b55460a3d41123a6f38cffb171d134b679	2340	data/dp_no_wall_clock/simclrv2/warmup_results/plan_only__dp_optimizer.json
6f1908e32e5cbf586ad3c46d01397f8b6c9c7a325ede5c26c6453aeb3cd77d3c	361	data/dp_no_wall_clock/simclrv2_cache/metadata.txt
a28c0b8d76d8dc819af14a902314f4b40855ec6669cc4d5d4824977212ede5b5	1834	data/dp_no_wall_clock/simclrv2_cache/plans/dp_optimizer.yaml
1ddcf0d68d83d7ffd38a62b6863476703b975e756e58a73dbd4d4cc27499aa62	131	data/dp_no_wall_clock/simclrv2_cache/results/round1__dp_optimizer.json
357ed3b3bdd8f4f2dec651919fec192397473ad70db6dd14861f7dadbe74f461	132	data/dp_no_wall_clock/simclrv2_cache/results/round2__dp_optimizer.json
9d646be777a7af203691bb428ab9cbfade0ef818dccc3aeaac62da17f000fe8d	131	data/dp_no_wall_clock/simclrv2_cache/results/round3__dp_optimizer.json
862c40cee040ff96878a5e1c50eca3cca788760a160baa6e96ddf41ff6133190	2350	data/dp_no_wall_clock/simclrv2_cache/warmup_results/plan_only__dp_optimizer.json
