recipe	family	operator_count	reorderable_per_record_count	global_deduplicator_count	model_operator_count	operators
refined_recipes/alpaca_cot/alpaca-cot-en-refine.yaml	instruction_tuning_text	7	5	2	0	document_deduplicator,alphanumeric_filter,character_repetition_filter,flagged_words_filter,maximum_line_length_filter,text_length_filter,document_simhash_deduplicator
refined_recipes/alpaca_cot/alpaca-cot-zh-refine.yaml	instruction_tuning_text	6	4	2	0	document_deduplicator,alphanumeric_filter,character_repetition_filter,flagged_words_filter,text_length_filter,document_simhash_deduplicator
refined_recipes/github_code/redpajama-code-refine.yaml	source_code	15	14	1	0	clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,clean_copyright_mapper,alphanumeric_filter,alphanumeric_filter,average_line_length_filter,character_repetition_filter,maximum_line_length_filter,text_length_filter,words_num_filter,word_repetition_filter,document_simhash_deduplicator
refined_recipes/github_code/redpajama-stack-code-deduplicate.yaml	source_code	1	0	1	0	document_simhash_deduplicator
refined_recipes/github_code/stack-code-refine.yaml	source_code	15	14	1	0	clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,clean_copyright_mapper,alphanumeric_filter,alphanumeric_filter,average_line_length_filter,character_repetition_filter,maximum_line_length_filter,text_length_filter,words_num_filter,word_repetition_filter,document_simhash_deduplicator
refined_recipes/image/img-diff-recipe.yaml	image_text	4	4	0	2	sentence_augmentation_mapper,sdxl_prompt2prompt_mapper,imgdiff_difference_area_generator_mapper,imgdiff_difference_caption_generator_mapper
refined_recipes/image/llava-pretrain-refine.yaml	image_text	13	13	0	3	fix_unicode_mapper,punctuation_normalization_mapper,alphanumeric_filter,character_repetition_filter,flagged_words_filter,perplexity_filter,special_characters_filter,word_repetition_filter,image_aspect_ratio_filter,image_shape_filter,image_size_filter,image_text_similarity_filter,image_text_matching_filter
refined_recipes/pretrain/pile-europarl-refine.yaml	pretraining_text	17	16	1	2	clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,text_length_filter,words_num_filter,word_repetition_filter,document_simhash_deduplicator
refined_recipes/pretrain/pile-freelaw-refine.yaml	pretraining_text	18	17	1	2	clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,stopwords_filter,text_length_filter,words_num_filter,word_repetition_filter,document_simhash_deduplicator
refined_recipes/pretrain/pile-hackernews-refine.yaml	pretraining_text	16	15	1	2	clean_email_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,text_length_filter,words_num_filter,word_repetition_filter,document_simhash_deduplicator
refined_recipes/pretrain/pile-nih-refine.yaml	pretraining_text	15	14	1	2	clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,perplexity_filter,special_characters_filter,words_num_filter,word_repetition_filter,document_simhash_deduplicator
refined_recipes/pretrain/pile-philpaper-refine.yaml	pretraining_text	16	15	1	2	clean_email_mapper,clean_links_mapper,fix_unicode_mapper,punctuation_normalization_mapper,whitespace_normalization_mapper,alphanumeric_filter,average_line_length_filter,character_repetition_filter,flagged_words_filter,language_id_score_filter,maximum_line_length_filter,perplexity_filter,special_characters_filter,words_num_filter,word_repetition_filter,document_simhash_deduplicator
